Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data,None,,,,,
00023,"=""13:50:27.585""",0xB3F1687,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F9 01 00 00 ,Kinetek:          CONTROLLER_CHANGE_VERIFICATION     	VACUUM_ENABLE = OFF,,,,,
00024,"=""13:50:27.615""",0xB3F16B2,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 06 02 00 04 B5 02 00 ,Kinetek:          HEART_BEAT page: 06,,,,,
00025,"=""13:50:27.615""",0xB3F16BD,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00026,"=""13:50:27.645""",0xB3F17EB,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00027,"=""13:50:27.645""",0xB3F186D,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00028,"=""13:50:27.645""",0xB3F18A6,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 07 04 AD 06 9F 00 00 ,Kinetek:          HEART_BEAT page: 07,,,,,
00029,"=""13:50:27.645""",0xB3F18B0,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00030,"=""13:50:27.675""",0xB3F1947,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F1 06 00 01 ,Control Panel:    CONTROLLER_CHANGE_REQUEST          	TOP_SPEED_ADJUSTMENT,,,,,
00031,"=""13:50:27.675""",0xB3F194B,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F2 03 00 00 ,Control Panel:    CONTROLLER_CHANGE_REQUEST          	BRUSH_ENABLE = OFF,,,,,
00032,"=""13:50:27.675""",0xB3F194F,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F1 06 00 01 ,Kinetek:          CONTROLLER_CHANGE_VERIFICATION     	TOP_SPEED_ADJUSTMENT,,,,,
00033,"=""13:50:27.675""",0xB3F1956,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F2 03 00 00 ,Kinetek:          CONTROLLER_CHANGE_VERIFICATION     	BRUSH_ENABLE = OFF,,,,,
00034,"=""13:50:27.675""",0xB3F19DF,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00035,"=""13:50:27.705""",0xB3F1A6A,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00036,"=""13:50:27.705""",0xB3F1A99,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 08 00 00 1A 19 00 00 ,Kinetek:          HEART_BEAT page: 08,,,,,
00037,"=""13:50:27.705""",0xB3F1AA4,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00038,"=""13:50:27.736""",0xB3F1BD2,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00039,"=""13:50:27.736""",0xB3F1C0E,ch1,Receive,0x04CA,Data,Standard,0x08,x| 00 01 01 00 00 00 00 00 ,Control Panel:    CONTROL_PANEL_UPDATE_COMMAND,,,,,
00040,"=""13:50:27.736""",0xB3F1C68,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00041,"=""13:50:27.765""",0xB3F1C8D,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 09 10 02 1B 02 0B 00 ,Kinetek:          HEART_BEAT page: 09,,,,,
00042,"=""13:50:27.765""",0xB3F1C97,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00043,"=""13:50:27.795""",0xB3F1DC5,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00044,"=""13:50:27.795""",0xB3F1E64,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00045,"=""13:50:27.795""",0xB3F1E80,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 0A 00 00 00 00 77 00 ,Kinetek:          HEART_BEAT page: 0A,,,,,
00046,"=""13:50:27.795""",0xB3F1E8A,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00047,"=""13:50:27.825""",0xB3F1ED3,ch1,Receive,0x04CA,Data,Standard,0x08,x| 01 01 01 00 00 00 00 00 ,Control Panel:    CONTROL_PANEL_UPDATE_COMMAND,,,,,
00048,"=""13:50:27.825""",0xB3F1FB9,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00049,"=""13:50:27.855""",0xB3F2063,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00050,"=""13:50:27.855""",0xB3F2073,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 01 20 00 00 81 7E 50 ,Kinetek:          HEART_BEAT page: 01,,,,,
00051,"=""13:50:27.855""",0xB3F207E,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00052,"=""13:50:27.885""",0xB3F2198,ch1,Receive,0x04CA,Data,Standard,0x08,x| 02 01 01 00 00 00 00 00 ,Control Panel:    CONTROL_PANEL_UPDATE_COMMAND,,,,,
00053,"=""13:50:27.885""",0xB3F21AB,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F7 05 00 00 ,Control Panel:    CONTROLLER_CHANGE_REQUEST          	REVERSE_ALARM_ENABLE = OFF,,,,,
00054,"=""13:50:27.885""",0xB3F21B0,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00055,"=""13:50:27.915""",0xB3F225F,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00056,"=""13:50:27.915""",0xB3F2267,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 02 30 20 4A 92 24 49 ,Kinetek:          HEART_BEAT page: 02,,,,,
00057,"=""13:50:27.915""",0xB3F2271,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00058,"=""13:50:27.945""",0xB3F239F,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00059,"=""13:50:27.945""",0xB3F245A,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 03 00 00 01 00 07 84 ,Kinetek:          HEART_BEAT page: 03,,,,,
00060,"=""13:50:27.945""",0xB3F245F,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00061,"=""13:50:27.945""",0xB3F2464,ch1,Receive,0x04CA,Data,Standard,0x08,x| 03 01 00 00 00 00 00 00 ,Control Panel:    CONTROL_PANEL_UPDATE_COMMAND,,,,,
00062,"=""13:50:27.975""",0xB3F2593,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00063,"=""13:50:28.005""",0xB3F264E,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 04 78 78 00 00 CF 00 ,Kinetek:          HEART_BEAT page: 04,,,,,
00064,"=""13:50:28.005""",0xB3F2658,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00065,"=""13:50:28.005""",0xB3F265D,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00066,"=""13:50:28.035""",0xB3F2722,ch1,Receive,0x04CA,Data,Standard,0x08,x| 04 01 00 00 00 00 00 00 ,Control Panel:    CONTROL_PANEL_UPDATE_COMMAND,,,,,
00067,"=""13:50:28.035""",0xB3F2786,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00068,"=""13:50:28.065""",0xB3F2841,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 05 00 00 00 00 00 00 ,Kinetek:          HEART_BEAT page: 05,,,,,
00069,"=""13:50:28.065""",0xB3F284C,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00070,"=""13:50:28.065""",0xB3F2858,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00071,"=""13:50:28.095""",0xB3F2979,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00072,"=""13:50:28.095""",0xB3F2A34,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 06 02 00 04 B5 02 00 ,Kinetek:          HEART_BEAT page: 06,,,,,
00073,"=""13:50:28.095""",0xB3F2A3F,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00074,"=""13:50:28.095""",0xB3F2A54,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00075,"=""13:50:28.125""",0xB3F2B6D,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00076,"=""13:50:28.155""",0xB3F2C28,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 07 04 AD 06 A0 00 00 ,Kinetek:          HEART_BEAT page: 07,,,,,
00077,"=""13:50:28.155""",0xB3F2C32,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00078,"=""13:50:28.155""",0xB3F2C53,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00079,"=""13:50:28.185""",0xB3F2D60,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00080,"=""13:50:28.215""",0xB3F2E1B,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 08 00 00 19 1A 00 00 ,Kinetek:          HEART_BEAT page: 08,,,,,
00081,"=""13:50:28.215""",0xB3F2E26,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00082,"=""13:50:28.215""",0xB3F2E4F,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00083,"=""13:50:28.245""",0xB3F2F54,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00084,"=""13:50:28.245""",0xB3F2F71,ch1,Receive,0x04CA,Data,Standard,0x08,x| 05 01 02 01 00 00 00 00 ,Control Panel:    CONTROL_PANEL_UPDATE_COMMAND,,,,,
00085,"=""13:50:28.245""",0xB3F300E,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 09 10 02 1B 02 0B 00 ,Kinetek:          HEART_BEAT page: 09,,,,,
00086,"=""13:50:28.245""",0xB3F3019,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00087,"=""13:50:28.245""",0xB3F304D,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00088,"=""13:50:28.280""",0xB3F3147,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00089,"=""13:50:28.306""",0xB3F3202,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 0A 00 00 00 00 78 00 ,Kinetek:          HEART_BEAT page: 0A,,,,,
00090,"=""13:50:28.306""",0xB3F320C,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00091,"=""13:50:28.306""",0xB3F324A,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00092,"=""13:50:28.335""",0xB3F333A,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00093,"=""13:50:28.365""",0xB3F33F5,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 01 20 00 00 81 7E 50 ,Kinetek:          HEART_BEAT page: 01,,,,,
00094,"=""13:50:28.365""",0xB3F3400,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00095,"=""13:50:28.365""",0xB3F3447,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00096,"=""13:50:28.395""",0xB3F352E,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00097,"=""13:50:28.395""",0xB3F35E9,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 02 30 20 4A 92 24 49 ,Kinetek:          HEART_BEAT page: 02,,,,,
00098,"=""13:50:28.395""",0xB3F35F3,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00099,"=""13:50:28.425""",0xB3F3644,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00100,"=""13:50:28.425""",0xB3F3720,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F7 05 00 00 ,Control Panel:    CONTROLLER_CHANGE_REQUEST          	REVERSE_ALARM_ENABLE = OFF,,,,,
00101,"=""13:50:28.425""",0xB3F3725,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00102,"=""13:50:28.456""",0xB3F37C0,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F8 01 00 00 ,Control Panel:    CONTROLLER_CHANGE_REQUEST          	AUX2_OUT_ENABLE = OFF,,,,,
00103,"=""13:50:28.456""",0xB3F37C4,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F8 01 00 00 ,Kinetek:          CONTROLLER_CHANGE_VERIFICATION     	AUX2_OUT_ENABLE = OFF,,,,,
00104,"=""13:50:28.456""",0xB3F37DC,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 03 00 00 01 00 07 83 ,Kinetek:          HEART_BEAT page: 03,,,,,
00105,"=""13:50:28.456""",0xB3F37E7,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00106,"=""13:50:28.456""",0xB3F3843,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00107,"=""13:50:28.485""",0xB3F3914,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00108,"=""13:50:28.515""",0xB3F39D0,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 04 78 78 00 00 CF 00 ,Kinetek:          HEART_BEAT page: 04,,,,,
00109,"=""13:50:28.515""",0xB3F39DA,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00110,"=""13:50:28.515""",0xB3F39E3,ch1,Receive,0x03C9,Data,Standard,0x05,x| 00 30 61 1E 64 ,Kinetek:          BATTERY_INFO,,,,,
00111,"=""13:50:28.515""",0xB3F3A40,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00112,"=""13:50:28.515""",0xB3F3A85,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F7 03 00 00 ,Control Panel:    CONTROLLER_CHANGE_REQUEST          	VALVE_ENABLE = OFF,,,,,
00113,"=""13:50:28.515""",0xB3F3A89,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F7 03 00 00 ,Kinetek:          CONTROLLER_CHANGE_VERIFICATION     	VALVE_ENABLE = OFF,,,,,
00114,"=""13:50:28.545""",0xB3F3B08,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00115,"=""13:50:28.545""",0xB3F3BC3,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 05 00 00 00 00 00 00 ,Kinetek:          HEART_BEAT page: 05,,,,,
00116,"=""13:50:28.545""",0xB3F3BCD,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00117,"=""13:50:28.575""",0xB3F3C3E,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00118,"=""13:50:28.575""",0xB3F3CFB,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00119,"=""13:50:28.605""",0xB3F3D4A,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F2 07 00 00 ,Control Panel:    CONTROLLER_CHANGE_REQUEST          	BRUSH_PRESSURE_LOW,,,,,
00120,"=""13:50:28.605""",0xB3F3D51,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F2 07 00 00 ,Kinetek:          CONTROLLER_CHANGE_VERIFICATION     	BRUSH_PRESSURE_LOW,,,,,
00121,"=""13:50:28.605""",0xB3F3DB6,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 06 02 00 04 B5 02 00 ,Kinetek:          HEART_BEAT page: 06,,,,,
00122,"=""13:50:28.605""",0xB3F3DC1,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00123,"=""13:50:28.605""",0xB3F3E39,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00124,"=""13:50:28.635""",0xB3F3EEF,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00125,"=""13:50:28.665""",0xB3F3FAA,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 07 04 AD 06 A0 00 00 ,Kinetek:          HEART_BEAT page: 07,,,,,
00126,"=""13:50:28.665""",0xB3F3FB4,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00127,"=""13:50:28.665""",0xB3F400F,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F1 04 00 01 ,Control Panel:    CONTROLLER_CHANGE_REQUEST          	TRACTION_DIRECTION = ON,,,,,
00128,"=""13:50:28.665""",0xB3F4012,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F1 00 00 00 ,Control Panel:    CONTROLLER_CHANGE_REQUEST          	TRACTION_SPEED_HIGH,,,,,
00129,"=""13:50:28.665""",0xB3F4016,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F1 04 00 01 ,Kinetek:          CONTROLLER_CHANGE_VERIFICATION     	TRACTION_DIRECTION = ON,,,,,
00130,"=""13:50:28.665""",0xB3F401E,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F1 00 00 00 ,Kinetek:          CONTROLLER_CHANGE_VERIFICATION     	TRACTION_SPEED_HIGH,,,,,
00131,"=""13:50:28.665""",0xB3F4039,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00132,"=""13:50:28.695""",0xB3F40E2,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00133,"=""13:50:28.695""",0xB3F419D,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 08 00 00 78 19 00 00 ,Kinetek:          HEART_BEAT page: 08,,,,,
00134,"=""13:50:28.695""",0xB3F41A8,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00135,"=""13:50:28.725""",0xB3F4235,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00136,"=""13:50:28.725""",0xB3F42D5,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00137,"=""13:50:28.755""",0xB3F4391,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 09 10 02 1B 02 0B 00 ,Kinetek:          HEART_BEAT page: 09,,,,,
00138,"=""13:50:28.755""",0xB3F439B,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00139,"=""13:50:28.755""",0xB3F4432,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
00140,"=""13:50:28.785""",0xB3F44C9,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 ,Control Panel:    HEART_BEAT,,,,,
00141,"=""13:50:28.816""",0xB3F4584,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 0A 00 00 00 00 77 00 ,Kinetek:          HEART_BEAT page: 0A,,,,,
00142,"=""13:50:28.816""",0xB3F458F,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 ,KC Tool:          NOT_USED,,,,,
00143,"=""13:50:28.816""",0xB3F4599,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F9 01 00 00 ,Control Panel:    CONTROLLER_CHANGE_REQUEST          	VACUUM_ENABLE = OFF,,,,,
00144,"=""13:50:28.816""",0xB3F459D,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F9 01 00 00 ,Kinetek:          CONTROLLER_CHANGE_VERIFICATION     	VACUUM_ENABLE = OFF,,,,,
00145,"=""13:50:28.816""",0xB3F462F,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 ,BCM:              HEART_BEAT,,,,,
